n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
1,4,6,5,4,4,0,8,5,2,14,7,14,3,0,12,2,1,1,1,2,1,1,0,1,1,2,5,1,1,1,0,1,1,22.75,13.25,0.519
12,15,6,26,6,13,0,26,0,11,39,0,17,7,0,36,5,1,1,1,3,1,1,0,1,0,2,7,0,1,1,0,2,1,24.222,18.778,0.479
8,6,8,6,4,4,0,12,0,1,5,0,7,0,0,8,0,1,1,1,1,1,1,0,1,0,1,4,0,1,0,0,1,0,17.25,5.25,0.426
1,2,2,1,0,2,0,4,1,1,2,0,3,0,0,2,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,10.5,12.0,0.617
17,29,27,27,12,17,1,38,6,10,48,0,27,6,1,36,12,1,1,1,4,1,1,1,1,1,2,8,0,1,1,1,2,1,24.077,15.615,0.48
6,8,3,8,4,5,0,20,1,3,15,1,10,3,0,13,3,1,1,1,4,1,1,0,1,1,1,6,1,1,1,0,2,1,20.6,16.7,0.627
13,14,21,16,11,12,0,17,5,3,29,0,16,5,0,21,4,1,1,1,3,1,1,0,1,1,2,8,0,1,1,0,1,1,13.357,9.5,0.569
13,10,8,6,4,7,0,23,2,5,19,6,19,0,0,12,4,1,1,1,2,1,1,0,1,1,3,8,1,1,0,0,2,1,15.333,8.917,0.783
4,4,6,5,5,4,0,4,1,0,6,14,13,1,0,2,1,1,1,1,1,1,1,0,1,1,0,2,1,1,1,0,1,1,11.667,3.0,0.254
21,24,13,25,10,16,1,41,6,5,37,1,35,5,0,27,17,1,1,1,3,1,1,1,1,1,2,8,1,1,1,0,2,1,13.091,7.591,0.5
11,11,9,12,8,9,0,28,6,1,13,0,13,3,4,13,1,1,1,1,3,1,1,0,1,1,1,5,0,1,1,1,2,1,27.6,14.2,0.421
7,13,8,8,2,15,2,25,3,4,17,12,30,3,5,20,4,1,1,1,2,1,1,1,1,1,2,4,1,1,1,1,1,1,14.417,5.833,0.376
11,9,13,9,9,10,0,24,0,3,7,1,13,3,0,13,1,1,1,1,3,1,1,0,1,0,2,5,1,1,1,0,1,1,21.0,6.667,0.504
4,1,2,5,1,5,1,9,0,3,7,1,11,1,0,6,5,1,1,1,2,1,1,1,1,0,2,4,1,1,1,0,2,1,15.5,8.0,0.539
2,5,5,7,2,8,0,15,0,4,13,1,12,2,0,17,2,1,1,1,3,1,1,0,1,0,1,6,1,1,1,0,1,1,13.571,9.857,0.653
1,4,3,3,3,3,0,9,1,1,6,0,9,1,0,4,0,1,1,1,1,1,1,0,1,1,1,4,0,1,1,0,1,0,22.5,14.5,0.632
2,4,1,2,1,2,0,7,2,0,8,2,3,0,0,3,1,1,1,1,1,1,1,0,1,1,0,3,1,1,0,0,1,1,19.0,8.0,0.459
6,13,3,8,4,10,0,21,2,2,18,3,13,1,0,12,1,1,1,1,2,1,1,0,1,1,2,6,1,1,1,0,3,1,19.333,11.333,0.591
17,15,11,17,10,10,0,29,1,5,26,0,12,6,0,21,2,1,1,1,4,1,1,0,1,1,2,8,0,1,1,0,2,1,22.625,19.562,0.683
16,33,21,17,9,21,1,50,3,9,21,11,40,5,2,30,5,1,1,1,4,1,1,1,1,1,2,5,1,1,1,1,2,1,19.467,4.733,0.372
