n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
1,3,3,3,1,2,0,3,2,0,2,0,2,0,0,2,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,24.0,10.0,0.433
13,17,13,16,5,16,0,35,3,5,13,5,12,4,0,15,0,1,1,1,3,1,1,0,1,1,2,7,1,1,1,0,2,0,28.5,15.0,0.595
3,2,6,4,1,3,1,4,2,1,9,1,9,2,0,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,0,1,1,13.75,7.0,0.381
24,24,19,17,12,17,0,54,2,4,25,8,34,5,1,27,2,1,1,1,4,1,1,0,1,1,2,8,1,1,1,1,2,1,24.909,12.545,0.513
9,8,11,6,4,2,0,7,9,3,15,11,23,3,5,13,5,1,1,1,3,1,1,0,1,1,2,5,1,1,1,1,1,1,31.25,21.0,0.506
8,12,14,9,3,14,1,25,6,4,9,54,19,2,2,15,35,1,1,1,2,1,1,1,1,1,2,5,1,1,1,1,2,1,19.167,4.298,0.373
13,14,5,12,8,19,0,26,1,15,39,0,22,7,0,38,3,1,1,1,2,1,1,0,1,1,2,7,0,1,1,0,2,1,13.059,12.471,0.475
6,5,4,5,2,7,0,14,1,1,6,0,6,1,0,7,0,1,1,1,2,1,1,0,1,1,1,4,0,1,1,0,1,0,21.667,10.667,0.526
4,14,7,9,5,9,0,15,0,7,28,0,13,9,2,18,2,1,1,1,3,1,1,0,1,0,2,5,0,1,1,1,3,1,20.286,18.571,0.593
2,5,3,2,1,3,0,5,0,0,8,1,4,0,0,5,0,1,1,1,2,1,1,0,1,0,0,3,1,1,0,0,1,0,19.5,10.0,0.453
4,2,3,5,1,5,0,6,0,1,6,0,6,1,2,4,0,1,1,1,2,1,1,0,1,0,1,4,0,1,1,1,2,0,22.0,26.5,0.746
25,32,15,21,15,15,0,38,10,7,35,20,41,4,2,25,3,1,1,1,4,1,1,0,1,1,2,8,1,1,1,1,3,1,43.857,20.714,0.484
10,3,5,7,4,5,2,22,0,2,12,3,12,3,1,7,5,1,1,1,2,1,1,1,1,0,2,6,1,1,1,1,1,1,14.429,7.429,0.563
4,2,3,7,2,1,0,4,1,2,7,2,8,4,0,8,2,1,1,1,3,1,1,0,1,1,1,5,1,1,1,0,1,1,57.0,35.0,0.656
3,0,0,0,1,3,0,4,0,1,0,1,4,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,16.0,7.0,0.354
9,9,4,3,5,6,0,14,0,4,9,3,10,0,0,13,3,1,1,1,3,1,1,0,1,0,1,5,1,1,0,0,1,1,11.5,4.071,0.516
11,18,9,10,5,16,0,19,5,2,13,10,16,3,1,14,2,1,1,1,2,1,1,0,1,1,1,3,1,1,1,1,1,1,38.0,10.5,0.287
3,3,1,2,1,0,0,5,2,0,5,0,3,0,1,3,0,1,1,1,2,1,0,0,1,1,0,3,0,1,0,1,2,0,14.0,14.5,0.802
3,3,1,0,1,0,0,1,0,0,3,0,3,0,0,0,0,1,1,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,15.0,7.0,0.365
28,21,7,15,12,19,2,52,1,9,32,2,42,5,1,34,11,1,1,1,3,1,1,1,1,1,2,8,1,1,1,1,2,1,19.4,7.2,0.456
14,9,7,15,1,8,0,14,5,2,10,5,11,8,0,11,2,1,1,1,2,1,1,0,1,1,1,4,1,1,1,0,2,1,40.667,12.333,0.384
3,2,1,4,3,1,0,2,1,1,5,4,4,1,0,4,0,1,1,1,2,1,1,0,1,1,1,2,1,1,1,0,1,0,18.0,13.0,0.589
